Subj	Date	SoundStim	arousal1.RT	arousal1.RESP	valence1.RT	valence1.RESP
10908	20111216	 277.wav	 783	 1	 547	 9	
10908	20111216	 284.wav	 1954	 1	 340	 9	
10908	20111216	 366.wav	 502	 1	 636	 1	
10908	20111216	 705.wav	 1824	 5	 280	 5	
10908	20111216	 708.wav	 563	 8	 255	 2	
10908	20111216	 420.wav	 778	 2	 502	 7	
10908	20111216	 110.wav	 1773	 3	 607	 2	
10908	20111216	 363.wav	 1365	 2	 640	 1	
10908	20111216	 422.wav	 779	 1	 366	 9	
10908	20111216	 626.wav	 652	 1	 724	 9	
10908	20111216	 113.wav	 623	 5	 209	 5	
10908	20111216	 352.wav	 740	 2	 304	 1	
10908	20111216	 367.wav	 283	 1	 210	 1	
10908	20111216	 378.wav	 191	 2	 210	 2	
10908	20111216	 627.wav	 1632	 5	 960	 4	
10908	20111216	 171.wav	 687	 7	 214	 4	
10908	20111216	 116.wav	 812	 1	 199	 9	
10908	20111216	 355.wav	 1969	 4	 252	 5	
10908	20111216	 808.wav	 328	 2	 270	 1	
10908	20111216	 241.wav	 400	 5	 420	 5	
10908	20111216	 374.wav	 287	 5	 303	 5	
10908	20111216	 728.wav	 505	 5	 200	 5	
10908	20111216	 254.wav	 401	 2	 309	 2	
10908	20111216	 373.wav	 494	 4	 206	 5	
10908	20111216	 375.wav	 371	 5	 271	 5	
10908	20111216	 382.wav	 297	 4	 329	 5	
10908	20111216	 502.wav	 944	 2	 317	 9	
10908	20111216	 111.wav	 2478	 4	 610	 2	
10908	20111216	 724.wav	 230	 5	 312	 5	
10908	20111216	 368.wav	 840	 2	 761	 4	
10908	20111216	 105.wav	 357	 3	 394	 1	
10908	20111216	 816.wav	 2252	 4	 339	 4	
10908	20111216	 723.wav	 554	 5	 407	 5	
10908	20111216	 732.wav	 4026	 4	 263	 6	
10908	20111216	 351.wav	 434	 2	 316	 1	
10908	20111216	 377.wav	 637	 9	 671	 1	
10908	20111216	 275.wav	 680	 1	 320	 9	
10908	20111216	 322.wav	 217	 3	 220	 5	
10908	20111216	 820.wav	 462	 2	 207	 2	
10908	20111216	 358.wav	 243	 4	 269	 5	
10908	20111216	 296.wav	 283	 4	 323	 9	
10908	20111216	 701.wav	 595	 5	 326	 5	
10908	20111216	 424.wav	 598	 1	 473	 9	
10908	20111216	 353.wav	 2156	 2	 1949	 6	
10908	20111216	 415.wav	 1059	 2	 258	 2	
10908	20111216	 817.wav	 414	 1	 425	 1	
